Date,Open,High,Low,Close
12/31/2020,"2,853.60","2,861.61","2,843.81","2,843.81"
12/30/2020,"2,855.06","2,878.13","2,846.22","2,869.22"
12/29/2020,"2,848.65","2,852.65","2,840.38","2,848.14"
12/28/2020,"2,845.85","2,840.14","2,840.14","2,840.14"
12/24/2020,"2,840.65","2,847.80","2,834.14","2,842.04"
12/23/2020,"2,817.87","2,838.45","2,805.24","2,833.40"
12/22/2020,"2,842.45","2,844.82","2,803.97","2,827.32"
12/21/2020,"2,847.19","2,854.61","2,831.40","2,846.52"
12/18/2020,"2,858.45","2,862.93","2,845.55","2,848.98"
12/17/2020,"2,866.97","2,867.11","2,849.43","2,858.02"
12/16/2020,"2,866.12","2,875.48","2,862.43","2,872.80"
12/15/2020,"2,863.10","2,863.97","2,841.51","2,856.72"
12/14/2020,"2,836.30","2,870.44","2,835.22","2,858.14"
12/11/2020,"2,836.88","2,848.97","2,818.35","2,821.70"
12/10/2020,"2,833.17","2,834.79","2,820.05","2,824.96"
12/09/2020,"2,825.72","2,849.16","2,825.32","2,843.07"
12/08/2020,"2,820.99","2,829.51","2,817.27","2,825.63"
12/07/2020,"2,842.58","2,853.23","2,824.23","2,825.51"
12/04/2020,"2,825.56","2,841.46","2,819.53","2,839.89"
12/03/2020,"2,809.74","2,822.40","2,792.74","2,822.34"
12/02/2020,"2,805.50","2,817.33","2,796.71","2,810.95"
12/01/2020,"2,802.94","2,824.54","2,793.22","2,814.12"
11/30/2020,"2,869.89","2,869.89","2,797.19","2,805.95"
11/27/2020,"2,846.95","2,866.34","2,845.16","2,855.82"
11/26/2020,"2,856.37","2,857.48","2,839.80","2,857.48"
11/25/2020,"2,903.16","2,920.55","2,858.36","2,869.55"
11/24/2020,"2,866.12","2,891.63","2,864.42","2,891.63"
11/23/2020,"2,828.32","2,852.27","2,825.83","2,848.78"
11/20/2020,"2,780.77","2,814.13","2,779.21","2,813.01"
11/19/2020,"2,782.22","2,795.06","2,766.55","2,777.00"
11/18/2020,"2,774.78","2,795.67","2,774.78","2,788.59"
11/17/2020,"2,764.13","2,781.58","2,764.13","2,778.55"
11/16/2020,"2,731.56","2,753.44","2,724.93","2,748.00"
11/13/2020,"2,700.72","2,715.92","2,685.81","2,711.39"
11/12/2020,"2,710.71","2,725.47","2,695.89","2,711.90"
11/11/2020,"2,698.69","2,713.28","2,673.89","2,713.28"
11/10/2020,"2,672.98","2,705.00","2,662.32","2,705.00"
11/09/2020,"2,600.96","2,622.98","2,600.67","2,609.36"
11/06/2020,"2,591.96","2,591.96","2,562.86","2,578.68"
11/05/2020,"2,543.91","2,588.62","2,541.76","2,588.62"
11/04/2020,"2,502.18","2,521.14","2,489.72","2,515.98"
11/03/2020,"2,453.29","2,497.22","2,453.26","2,497.22"
11/02/2020,"2,428.98","2,449.02","2,423.70","2,443.13"
10/30/2020,"2,423.84","2,447.85","2,420.84","2,423.84"
10/29/2020,"2,450.68","2,472.92","2,450.68","2,450.68"
10/28/2020,"2,483.48","2,507.89","2,483.48","2,483.48"
10/27/2020,"2,515.33","2,519.00","2,503.37","2,512.87"
10/26/2020,"2,540.86","2,541.74","2,521.19","2,523.31"
10/23/2020,"2,537.05","2,537.39","2,537.39","2,537.39"
10/22/2020,"2,518.75","2,530.76","2,513.52","2,528.41"
10/21/2020,"2,525.61","2,545.52","2,521.70","2,525.61"
10/20/2020,"2,542.08","2,542.39","2,523.21","2,528.64"
10/19/2020,"2,540.55","2,549.52","2,537.31","2,543.57"
10/16/2020,"2,530.38","2,533.02","2,533.02","2,533.02"
10/15/2020,"2,543.34","2,523.62","2,523.62","2,523.62"
10/14/2020,"2,562.44","2,555.59","2,555.59","2,555.59"
10/13/2020,"2,556.40","2,570.19","2,547.12","2,567.65"
10/12/2020,"2,552.42","2,555.93","2,534.37","2,552.42"
10/09/2020,"2,547.94","2,547.97","2,532.41","2,532.96"
10/08/2020,"2,545.42","2,543.11","2,543.11","2,543.11"
10/07/2020,"2,523.19","2,538.36","2,538.36","2,538.36"
10/06/2020,"2,525.70","2,540.71","2,525.69","2,529.26"
10/05/2020,"2,512.91","2,522.40","2,504.89","2,517.23"
10/02/2020,"2,500.34","2,496.11","2,496.11","2,496.11"
10/01/2020,"2,479.29","2,504.12","2,477.09","2,500.74"
09/30/2020,"2,466.62","2,489.17","2,465.45","2,466.62"
09/29/2020,"2,496.77","2,471.61","2,471.61","2,471.61"
09/28/2020,"2,483.01","2,494.16","2,471.07","2,483.01"
09/25/2020,"2,458.38","2,474.12","2,457.26","2,472.28"
09/24/2020,"2,467.15","2,450.82","2,450.82","2,450.82"
09/23/2020,"2,463.95","2,481.14","2,481.14","2,481.14"
09/22/2020,"2,463.29","2,481.77","2,455.33","2,463.29"
09/21/2020,"2,499.39","2,515.05","2,481.66","2,485.71"
09/18/2020,"2,497.71","2,506.92","2,492.76","2,497.71"
09/17/2020,"2,503.54","2,500.78","2,500.78","2,500.78"
09/16/2020,"2,505.15","2,508.16","2,488.09","2,505.15"
09/15/2020,"2,486.70","2,502.10","2,482.91","2,485.83"
09/14/2020,"2,489.68","2,482.55","2,482.55","2,482.55"
09/11/2020,"2,490.09","2,492.42","2,476.82","2,490.09"
09/10/2020,"2,507.64","2,492.09","2,492.09","2,492.09"
09/09/2020,"2,499.33","2,505.41","2,478.11","2,499.33"
09/08/2020,"2,515.26","2,504.76","2,504.76","2,504.76"
09/07/2020,"2,506.18","2,511.21","2,511.21","2,511.21"
09/04/2020,"2,494.42","2,509.64","2,509.64","2,509.64"
09/03/2020,"2,546.01","2,546.87","2,519.13","2,531.79"
09/02/2020,"2,540.65","2,539.94","2,539.94","2,539.94"
09/01/2020,"2,521.81","2,544.00","2,508.68","2,538.55"
08/31/2020,"2,557.44","2,560.43","2,523.34","2,532.51"
08/28/2020,"2,547.71","2,573.49","2,532.41","2,539.63"
08/27/2020,"2,539.98","2,545.79","2,517.07","2,519.81"
08/26/2020,"2,548.28","2,548.57","2,528.94","2,542.08"
08/25/2020,"2,544.61","2,575.37","2,542.19","2,559.03"
08/24/2020,"2,535.69","2,544.21","2,526.51","2,538.61"
08/21/2020,"2,528.54","2,547.83","2,526.27","2,528.54"
08/20/2020,"2,537.11","2,545.07","2,506.77","2,527.92"
08/19/2020,"2,561.04","2,567.21","2,555.44","2,561.04"
08/18/2020,"2,574.82","2,579.36","2,557.94","2,563.09"
08/17/2020,"2,580.56","2,596.81","2,565.02","2,571.55"
08/14/2020,"2,584.50","2,600.05","2,572.64","2,581.32"
08/13/2020,"2,574.80","2,602.33","2,568.10","2,595.97"
08/12/2020,"2,530.75","2,563.79","2,521.06","2,563.20"
08/11/2020,"2,547.52","2,559.76","2,522.80","2,544.15"
08/07/2020,"2,558.30","2,558.96","2,529.35","2,545.51"
08/06/2020,"2,551.03","2,559.10","2,559.10","2,559.10"
08/05/2020,"2,527.31","2,549.07","2,513.16","2,532.69"
08/04/2020,"2,495.13","2,523.78","2,491.39","2,515.70"
08/03/2020,"2,522.53","2,523.78","2,478.39","2,484.91"
07/30/2020,"2,581.66","2,581.66","2,511.02","2,529.82"
07/29/2020,"2,581.48","2,586.16","2,564.46","2,573.45"
07/28/2020,"2,587.81","2,603.31","2,580.89","2,582.97"
07/27/2020,"2,589.95","2,598.68","2,570.86","2,575.79"
07/24/2020,"2,603.64","2,603.83","2,572.93","2,579.51"
07/23/2020,"2,596.88","2,622.81","2,592.57","2,612.35"
07/22/2020,"2,622.02","2,594.53","2,594.53","2,594.53"
07/21/2020,"2,629.33","2,644.51","2,622.97","2,629.45"
07/20/2020,"2,618.01","2,616.30","2,616.30","2,616.30"
07/17/2020,"2,618.48","2,640.38","2,618.48","2,618.48"
